"peak_id","height","seasons","sex","age","success","solo","died"
"AMAD",6814,"Autumn","M",22,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","F",31,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",34,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",52,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","F",44,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",36,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","F",30,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",54,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",37,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",29,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",35,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",37,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",37,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",36,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",25,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",49,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",32,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",45,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",36,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",26,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",43,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",32,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",42,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","F",49,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",54,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",42,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",49,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",29,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",32,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",34,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",34,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",25,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",53,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",53,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",40,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",46,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","F",31,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",31,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",27,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","F",29,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",30,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",32,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",32,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","F",53,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",30,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",46,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","F",40,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",29,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",30,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","F",31,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",46,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",46,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",29,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","F",37,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",52,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",43,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",34,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",29,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",38,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",52,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",46,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",38,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",33,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",40,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",36,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",35,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",29,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",46,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",30,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",38,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",38,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",38,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",35,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",38,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",40,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",39,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",29,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",48,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",44,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",50,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",60,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",42,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",53,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",36,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",47,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",39,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",53,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",40,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",31,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",31,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",54,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",42,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",37,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","F",40,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",32,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",30,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",28,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",43,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",25,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",57,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",26,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",51,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","F",48,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",49,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",49,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",35,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",26,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",36,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",40,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",32,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",40,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",41,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",25,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",48,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",26,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",48,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",32,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",27,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",27,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",35,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",38,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",34,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",22,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",48,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",41,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",49,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",65,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",28,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",43,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",27,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",63,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",35,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",27,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",52,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",42,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",30,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",47,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",57,FALSE,FALSE,FALSE
"AMAD",6814,"Winter","M",32,TRUE,FALSE,FALSE
"AMAD",6814,"Winter","M",48,TRUE,FALSE,FALSE
"AMAD",6814,"Winter","M",37,TRUE,FALSE,FALSE
"AMAD",6814,"Winter","M",61,FALSE,FALSE,FALSE
"AMAD",6814,"Winter","M",40,FALSE,FALSE,FALSE
"AMAD",6814,"Winter","F",40,FALSE,FALSE,FALSE
"AMAD",6814,"Winter","M",25,FALSE,FALSE,FALSE
"AMAD",6814,"Winter","M",42,FALSE,FALSE,FALSE
"AMAD",6814,"Winter","M",34,TRUE,FALSE,FALSE
"AMAD",6814,"Winter","M",48,FALSE,FALSE,FALSE
"AMAD",6814,"Winter","M",43,TRUE,FALSE,FALSE
"AMAD",6814,"Winter","M",36,FALSE,FALSE,FALSE
"AMAD",6814,"Winter","M",36,FALSE,FALSE,FALSE
"AMAD",6814,"Winter","M",31,TRUE,FALSE,FALSE
"AMAD",6814,"Winter","F",32,FALSE,FALSE,FALSE
"AMAD",6814,"Winter","M",39,TRUE,FALSE,FALSE
"AMAD",6814,"Winter","F",31,TRUE,FALSE,FALSE
"AMAD",6814,"Winter","M",25,TRUE,FALSE,FALSE
"AMAD",6814,"Winter","M",29,TRUE,FALSE,FALSE
"AMAD",6814,"Winter","M",44,TRUE,FALSE,FALSE
"AMAD",6814,"Winter","M",53,FALSE,FALSE,FALSE
"AMAD",6814,"Winter","M",41,FALSE,FALSE,FALSE
"AMAD",6814,"Winter","M",40,TRUE,FALSE,FALSE
"AMAD",6814,"Winter","M",32,TRUE,FALSE,FALSE
"AMAD",6814,"Spring","M",40,TRUE,FALSE,FALSE
"AMAD",6814,"Spring","M",43,TRUE,FALSE,FALSE
"AMAD",6814,"Spring","M",48,TRUE,FALSE,FALSE
"AMAD",6814,"Spring","M",45,TRUE,FALSE,FALSE
"AMAD",6814,"Spring","F",38,TRUE,FALSE,FALSE
"AMAD",6814,"Spring","M",39,TRUE,FALSE,FALSE
"AMAD",6814,"Spring","F",22,TRUE,FALSE,FALSE
"AMAD",6814,"Spring","M",42,TRUE,FALSE,FALSE
"AMAD",6814,"Spring","M",47,TRUE,FALSE,FALSE
"AMAD",6814,"Spring","M",40,TRUE,TRUE,FALSE
"AMAD",6814,"Spring","M",30,TRUE,FALSE,FALSE
"AMAD",6814,"Spring","M",35,TRUE,FALSE,FALSE
"AMAD",6814,"Spring","M",37,FALSE,FALSE,FALSE
"AMAD",6814,"Spring","M",40,FALSE,FALSE,FALSE
"AMAD",6814,"Spring","M",38,FALSE,FALSE,FALSE
"AMAD",6814,"Spring","M",28,FALSE,FALSE,FALSE
"AMAD",6814,"Spring","M",25,TRUE,FALSE,FALSE
"AMAD",6814,"Spring","M",33,TRUE,FALSE,FALSE
"AMAD",6814,"Spring","M",32,TRUE,FALSE,FALSE
"AMAD",6814,"Spring","M",31,TRUE,FALSE,FALSE
"AMAD",6814,"Spring","M",29,FALSE,FALSE,FALSE
"AMAD",6814,"Spring","F",41,TRUE,FALSE,FALSE
"AMAD",6814,"Spring","M",29,FALSE,FALSE,FALSE
"AMAD",6814,"Spring","M",37,FALSE,FALSE,FALSE
"AMAD",6814,"Spring","M",43,FALSE,FALSE,FALSE
"AMAD",6814,"Spring","M",31,TRUE,FALSE,FALSE
"AMAD",6814,"Spring","M",49,FALSE,FALSE,FALSE
"AMAD",6814,"Spring","M",31,FALSE,FALSE,FALSE
"AMAD",6814,"Spring","M",51,TRUE,FALSE,FALSE
"AMAD",6814,"Spring","M",35,FALSE,FALSE,FALSE
"AMAD",6814,"Spring","M",41,TRUE,FALSE,FALSE
"AMAD",6814,"Spring","F",32,TRUE,FALSE,FALSE
"AMAD",6814,"Spring","M",35,TRUE,FALSE,FALSE
"AMAD",6814,"Spring","M",38,TRUE,FALSE,FALSE
"AMAD",6814,"Spring","F",32,TRUE,FALSE,FALSE
"AMAD",6814,"Spring","M",33,TRUE,FALSE,FALSE
"AMAD",6814,"Spring","M",30,TRUE,FALSE,FALSE
"AMAD",6814,"Spring","M",39,FALSE,FALSE,FALSE
"AMAD",6814,"Spring","M",28,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",21,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",41,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",37,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",36,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",33,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",30,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",46,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",39,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",32,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",39,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",32,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",41,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",31,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",43,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",38,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","F",44,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",36,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",24,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","F",35,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","F",31,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",46,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",40,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",55,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","F",28,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",44,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",33,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",33,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",38,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",42,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",24,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",34,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","F",41,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",40,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",51,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",37,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",53,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",53,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",43,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",45,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","F",41,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",50,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",46,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",38,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",48,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",22,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",39,FALSE,FALSE,TRUE
"AMAD",6814,"Autumn","F",52,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",39,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",30,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",37,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",46,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",60,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",47,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",44,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",34,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",30,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",39,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",32,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",28,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",29,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","F",48,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",32,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",35,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",52,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",33,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",31,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",34,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",37,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",57,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",56,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",48,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",63,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",29,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",51,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",48,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",32,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",58,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",35,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",45,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",45,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",30,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",53,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",20,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",42,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",38,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","F",38,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","F",33,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","F",35,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","F",33,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","F",41,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","F",34,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","F",34,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","F",46,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","F",40,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","F",33,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","F",37,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",73,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",32,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",29,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",31,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",32,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",59,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",48,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",41,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",42,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",63,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",36,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",35,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",60,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",27,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",32,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","F",30,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",32,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",67,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",41,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",65,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",29,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",23,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",23,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",33,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",49,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",50,TRUE,FALSE,FALSE
"AMAD",6814,"Spring","M",49,FALSE,FALSE,FALSE
"AMAD",6814,"Spring","M",35,FALSE,FALSE,FALSE
"AMAD",6814,"Spring","M",35,FALSE,FALSE,FALSE
"AMAD",6814,"Spring","M",53,FALSE,FALSE,FALSE
"AMAD",6814,"Spring","M",28,FALSE,FALSE,FALSE
"AMAD",6814,"Spring","M",36,FALSE,FALSE,FALSE
"AMAD",6814,"Spring","M",34,FALSE,FALSE,FALSE
"AMAD",6814,"Spring","M",29,FALSE,FALSE,FALSE
"AMAD",6814,"Spring","M",35,FALSE,FALSE,FALSE
"AMAD",6814,"Spring","M",48,TRUE,FALSE,FALSE
"AMAD",6814,"Spring","M",37,FALSE,FALSE,FALSE
"AMAD",6814,"Spring","M",45,TRUE,FALSE,FALSE
"AMAD",6814,"Spring","M",29,FALSE,FALSE,FALSE
"AMAD",6814,"Spring","M",32,FALSE,FALSE,FALSE
"AMAD",6814,"Spring","M",28,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",46,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",47,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",36,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","F",33,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",39,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",47,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",31,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",32,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",34,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",30,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",48,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",40,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",32,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",41,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",25,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",24,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",26,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",25,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",25,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",30,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",22,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","F",31,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",22,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",30,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",30,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",31,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",50,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",22,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",27,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",56,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",28,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",32,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",48,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",21,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",34,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",25,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",34,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",31,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",53,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",31,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",29,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",43,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",41,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","F",36,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","M",27,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",52,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","F",25,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",53,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","F",32,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","F",40,FALSE,FALSE,FALSE
"AMAD",6814,"Autumn","F",20,TRUE,FALSE,FALSE
"AMAD",6814,"Autumn","M",24,TRUE,FALSE,FALSE
"AMAD",6814,"Winter","M",41,FALSE,FALSE,FALSE
"AMAD",6814,"Winter","M",46,TRUE,FALSE,FALSE
"AMAD",6814,"Winter","F",24,TRUE,FALSE,FALSE
"AMAD",6814,"Winter","M",26,TRUE,FALSE,FALSE
"AMAD",6814,"Winter","M",26,TRUE,FALSE,FALSE
"AMAD",6814,"Winter","M",27,TRUE,FALSE,FALSE
"AMAD",6814,"Winter","M",43,TRUE,FALSE,FALSE
"AMAD",6814,"Winter","F",40,TRUE,FALSE,FALSE
"AMAD",6814,"Winter","M",23,TRUE,FALSE,FALSE
"AMAD",6814,"Winter","M",39,TRUE,FALSE,FALSE
"AMAD",6814,"Winter","M",36,TRUE,FALSE,FALSE
"AMAD",6814,"Winter","F",35,TRUE,FALSE,FALSE
"AMAD",6814,"Winter","F",34,FALSE,FALSE,FALSE
"AMAD",6814,"Winter","M",50,FALSE,FALSE,FALSE
"AMAD",6814,"Winter","M",35,TRUE,FALSE,FALSE
"AMAD",6814,"Winter","M",37,FALSE,FALSE,FALSE
"AMAD",6814,"Winter","M",29,TRUE,FALSE,FALSE
"AMAD",6814,"Spring","M",31,FALSE,FALSE,FALSE
"AMAD",6814,"Spring","M",35,FALSE,FALSE,FALSE
"AMAD",6814,"Spring","M",43,FALSE,FALSE,FALSE
"AMAD",6814,"Spring","M",30,FALSE,FALSE,FALSE
"AMAD",6814,"Spring","M",24,FALSE,FALSE,FALSE
"AMAD",6814,"Spring","M",73,FALSE,FALSE,FALSE
"AMAD",6814,"Spring","M",34,TRUE,FALSE,FALSE
